min;max;sho01
0,202098678;1,389580028;0,322913154
0,194628364;1,057833444;0,321586737
0,193427778;1,017147543;0,31363445
0,183289494;0,942337236;0,313282027
0,181688713;0,924549992;0,306532471
0,179935745;0,892648958;0,300693071
0,177953555;0,858234508;0,299077926
0,176486172;0,843347358;0,295173526
0,175848523;0,826526813;0,294260569
0,174696362;0,810286286;0,291552488
0,17095184;0,800232626;0,282950594
0,165335057;0,795205796;0,282023384
0,164182896;0,783992099;0,28125449
0,163894856;0,777031874;0,280241916
0,163462796;0,764658139;0,278019376
0,161878575;0,760984686;0,270000786
0,161158475;0,75905129;0,267069284
0,160582394;0,752864423;0,265446474
0,157269932;0,747837593;0,265076469
0,157269932;0,743777461;0,264641649
0,157269932;0,728696972;0,261752152
0,15580941;0,706076238;0,260439958
0,15580941;0,701629428;0,260007355
0,154742222;0,70046939;0,259837782
0,15407523;0,6956359;0,259324279
0,15309335;0,68577558;0,258896149
0,152229229;0,684228863;0,258884984
0,151797169;0,684035523;0,258874023
0,150645008;0,682102127;0,25842435
0,150500988;0,677848656;0,257639596
0,150212948;0,674948562;0,257187099
0,149924908;0,672821826;0,257023655
0,148205697;0,670115072;0,255690749
0,147005111;0,654841243;0,254855098
0,146604916;0,651941149;0,253663695
0,146471517;0,65136113;0,252961222
0,146071322;0,647300998;0,251707276
0,145537728;0,637247339;0,251690822
0,145404329;0,627580359;0,249923764
0,145004134;0,626420321;0,249796605
0,145004134;0,624100246;0,248836241
0,144203743;0,619266756;0,248324035
0,14273636;0,61733336;0,247861403
0,141802571;0,614239926;0,247849317
0,140335188;0,604572946;0,245664491
0,140201789;0,603992927;0,245638324
0,139934992;0,599546116;0,24536084
0,139934992;0,596839361;0,244790798
0,139801594;0,593745928;0,244517413
0,139534797;0,584078948;0,244458741
0,139134601;0,579438797;0,244439112
0,138867805;0,576732043;0,243900603
0,137267023;0,571898552;0,243662677
0,137133624;0,570931854;0,243612603
0,136733429;0,570089233;0,241506298
0,136600031;0,56960706;0,240622071
0,136466632;0,569446335;0,240518629
0,136199835;0,568481989;0,240378686
0,136066437;0,568321265;0,240298612
0,135532843;0,564785329;0,240010761
0,134599054;0,563820983;0,239942506
0,134332257;0,561410118;0,239820986
0,134198858;0,556749112;0,239545798
0,133932061;0,55482042;0,238969235
0,133798663;0,548712895;0,238530609
0,133531866;0,547731102;0,237959935
0,132998272;0,547537762;0,23765127
0,132864873;0,544250989;0,23722163
0,132864873;0,543891165;0,236794152
0,132731475;0,543730441;0,236669339
0,132598077;0,5414803;0,235750944
0,132464678;0,541158851;0,235555105
0,132464678;0,539712332;0,234970714
0,132464678;0,536497846;0,234712504
0,132197881;0,536337121;0,23362479
0,132064483;0,535372775;0,232903396
0,132064483;0,535051327;0,23272415
0,131664287;0,531033218;0,232177934
0,13139749;0,530390321;0,231764844
0,13139749;0,530229596;0,228726343
0,131264092;0,529586699;0,228477954
0,131202297;0,527979456;0,227969114
0,131058277;0,526693661;0,227905679
0,129906116;0,523961347;0,227680703
0,129618076;0,521711206;0,227461155
0,129474056;0,521229033;0,227229498
0,129186016;0,520586136;0,22714224
0,129041996;0,520264687;0,226888607
0,128753956;0,519943239;0,226631665
0,128465915;0,519139617;0,226559398
0,127889835;0,518818168;0,226463542
0,127889835;0,518335995;0,226350568
0,127889835;0,514478611;0,226245527
0,127745815;0,514157162;0,226079559
0,127457775;0,513996438;0,225946529
0,127313755;0,513353541;0,225626636
0,127313755;0,513192816;0,224431312
0,127169735;0,510460503;0,223588517
0,126881694;0,509656881;0,222938051
0,126593654;0,508210362;0,222909247
0,126449634;0,506924567;0,222402964
0,126305614;0,506120945;0,222295641
0,126161594;0,504835151;0,221658223
0,126161594;0,504192253;0,22155266
0,125873554;0,504031529;0,219656846
0,125873554;0,500977767;0,219637007
0,125729534;0,50001342;0,219525511
0,125729534;0,499209799;0,21882375
0,125441494;0,498084728;0,218819313
0,125297473;0,49776328;0,218713216
0,125297473;0,493905896;0,218648579
0,125153453;0,492459377;0,21800866
0,125009433;0,490209236;0,217585919
0,124721393;0,488601992;0,21753615
0,124289333;0,488601992;0,217494353
0,124001293;0,487637646;0,217139494
0,124001293;0,487316198;0,216875951
0,123857273;0,487316198;0,216332352
0,123857273;0,487155473;0,216235336
0,123713253;0,4866733;0,21592996
0,123425212;0,485387506;0,215897477
0,123137172;0,481530121;0,215574536
0,123137172;0,481208673;0,215377936
0,123137172;0,481208673;0,215312297
0,122993152;0,481208673;0,215229022
0,122849132;0,480887224;0,215058766
0,122705112;0,479762154;0,214473515
0,122705112;0,478476359;0,214426456
0,122705112;0,477672737;0,214277604
0,122705112;0,477351289;0,214073467
0,122705112;0,47702984;0,214068942
0,122561092;0,476869116;0,213696844
0,122561092;0,476547667;0,213381098
0,122561092;0,475422597;0,212643822
0,122561092;0,473976077;0,212641399
0,122417072;0,473815353;0,212607306
0,122417072;0,473172456;0,21148439
0,122273052;0,473172456;0,211286571
0,122129032;0,473011731;0,210558378
0,122129032;0,472851007;0,210423515
0,121985012;0,472690283;0,210407873
0,121696971;0,471083039;0,210206393
0,121696971;0,469797245;0,209916584
0,121552951;0,469797245;0,209832418
0,121552951;0,468190001;0,209511302
0,121264911;0,467547104;0,20899127
0,121120891;0,466904207;0,208985114
0,120976871;0,466422034;0,208701752
0,120592214;0,465457687;0,208662343
0,120458816;0,462403925;0,208514393
0,120325418;0,462082476;0,208391986
0,120192019;0,45886799;0,208336063
0,120192019;0,457742919;0,20812932
0,120192019;0,45742147;0,208015802
0,120192019;0,457260746;0,207877616
0,120058621;0,456617849;0,207662793
0,119925222;0,455974951;0,207191334
0,119925222;0,45517133;0,206870035
0,119791824;0,454046259;0,206622866
0,119791824;0,454046259;0,206288439
0,119791824;0,453885535;0,206250402
0,11953667;0,453242638;0,206176252
0,119525027;0,452760465;0,205996992
0,119391628;0,452439016;0,205974132
0,11925823;0,450671048;0,205753456
0,119124831;0,447135113;0,205711925
0,119124831;0,446813664;0,205198041
0,119124831;0,444724248;0,205017123
0,118991433;0,443759902;0,20489313
0,118991433;0,442795556;0,204775722
0,118991433;0,442474107;0,204772221
0,118858034;0,442474107;0,204762797
0,118324441;0,442474107;0,204683495
0,118324441;0,442313383;0,204443093
0,118324441;0,442313383;0,204200955
0,118191042;0,442152658;0,204160951
0,118057644;0,441188312;0,203835409
0,118057644;0,439902517;0,2034804
0,118057644;0,438938171;0,203343754
0,117924245;0,437813101;0,203190079
0,117790847;0,437652377;0,203173674
0,11752405;0,437170204;0,203040665
0,117390651;0,437170204;0,202900899
0,117390651;0,436848755;0,20276134
0,117390651;0,434759339;0,202759291
0,117257253;0,431384127;0,202744854
0,117123854;0,431223403;0,20246228
0,117123854;0,430901954;0,202435007
0,116857057;0,430259057;0,202392483
0,116723659;0,430098333;0,202368673
0,11659026;0,430098333;0,202299105
0,116456862;0,429937608;0,20187141
0,116456862;0,429776884;0,201808324
0,116323464;0,428169641;0,201673351
0,116323464;0,428008916;0,201667421
0,115923268;0,427687468;0,201468339
0,115656471;0,427205295;0,201369646
0,115656471;0,426883846;0,201038745
0,115656471;0,425437327;0,200958695
0,115389674;0,425276603;0,200854845
0,115256276;0,42334791;0,200656213
0,115256276;0,423187186;0,200598714
